Date,Open,High,Low,Close,Volume
03/01/2023,"90.16","91.20","89.85","90.51","26,323,881"
02/28/2023,"89.54","91.45","89.52","90.30","30,546,910"
02/27/2023,"90.09","90.45","89.61","90.10","22,724,260"
02/24/2023,"89.63","90.13","88.86","89.35","31,295,619"
02/23/2023,"92.13","92.13","90.01","91.07","32,423,721"
02/22/2023,"91.93","92.36","90.87","91.80","29,891,141"
02/21/2023,"93.24","93.41","92.00","92.05","28,367,199"
02/17/2023,"95.07","95.75","93.45","94.59","31,095,070"
02/16/2023,"95.54","97.88","94.97","95.78","35,642,113"
02/15/2023,"94.74","97.34","94.36","97.10","37,029,887"
02/14/2023,"94.66","95.18","92.65","94.95","42,513,078"
02/13/2023,"95.01","95.35","94.05","95.00","43,116,559"
02/10/2023,"95.74","97.02","94.53","94.86","49,325,281"
02/09/2023,"100.54","100.61","93.86","95.46","97,798,570"
02/08/2023,"102.69","103.58","98.46","100.00","73,546,031"
02/07/2023,"103.63","108.67","103.55","108.04","33,738,832"
02/06/2023,"102.69","104.70","102.21","103.47","25,573,051"
02/03/2023,"103.51","108.02","103.30","105.22","36,823,422"
02/02/2023,"106.79","108.82","106.54","108.80","46,622,633"
02/01/2023,"99.74","102.19","98.42","101.43","26,392,570"
01/31/2023,"97.86","99.91","97.79","99.87","22,306,779"
01/30/2023,"98.75","99.41","97.52","97.95","24,365,141"
01/27/2023,"99.05","101.58","98.97","100.71","29,020,350"
01/26/2023,"98.28","99.21","96.82","99.16","24,542,061"
01/25/2023,"97.20","97.72","95.26","96.73","31,000,850"
01/24/2023,"99.55","101.09","98.70","99.21","27,391,369"
01/23/2023,"99.13","101.40","98.75","101.21","31,791,779"
01/20/2023,"95.95","99.42","95.91","99.28","53,704,762"
01/19/2023,"91.39","94.40","91.38","93.91","28,707,650"
01/18/2023,"92.94","93.59","91.40","91.78","19,641,619"
01/17/2023,"92.78","92.97","90.84","92.16","22,935,820"
01/13/2023,"91.53","92.98","90.93","92.80","18,630,711"
01/12/2023,"92.40","92.62","90.57","91.91","22,754,221"
01/11/2023,"90.06","92.45","89.74","92.26","25,998,840"
01/10/2023,"86.72","89.48","86.70","89.24","22,855,590"
01/09/2023,"89.20","90.83","88.58","88.80","22,996,680"
01/06/2023,"87.36","88.47","85.57","88.16","26,612,631"
01/05/2023,"88.07","88.21","86.56","86.77","23,136,080"
01/04/2023,"91.01","91.24","87.80","88.71","27,046,480"
01/03/2023,"89.83","91.55","89.02","89.70","20,738,461"
12/30/2022,"87.37","88.83","87.03","88.73","19,190,301"
12/29/2022,"87.03","89.37","86.99","88.95","18,280,660"
12/28/2022,"87.50","88.52","86.37","86.46","17,879,570"
12/27/2022,"89.31","89.50","87.54","87.93","15,470,870"
